Contenido,Título del vídeo,Fecha de publicacion del video ,Visualizaciones,Tiempo de visualización (horas),Suscriptores,Impresiones,Porcentaje de clics de las impresiones (%)
WaERScU79OE,"Pateando Micrófonos EP3 ""Capturando Leyendas"" - Sin Guerrero","Nov 21, 2022",,,,146,0
Wrec4D1tei8,"D´Influencers EP5 ¨Emblema, Símbolo y Teatro¨ - Nena Delgado","Dec 12, 2022",,,,154,0
YF_MC2U-ybU,¿Quieres ser periodista? #foryou #podcast #viral #shorts #television #periodismo #parati,"Feb 21, 2024",,,,94,0
_DxLn64KhCs,La muerte de mi padre. #DInfluencers #foryou #monterrey,"Oct 13, 2023",,,,22,0
aqPdW-Nxqek,"""Lo difícil que fue salirme de trabajar para poner mi negocio"" #foryou #podcast #viral #shorts","Dec 18, 2023",,,,22,0
b125GN8JrMk,"""Nadie nace sabiendo"" #foryou #podcast #viral #shorts #negocios #parati","Feb 17, 2024",,,,31,0
d5MNvY_RgS4,"""No hay lugar malo para tener un negocio"" #foryou #podcast #viral #entrevista #negocios","Dec 21, 2023",,,,41,0
dhLl93LndXY,"NOSOTRAS PODEMOS EP8 ""El Show Debe Continuar"" - Angye Castro","Feb 8, 2023",,,,168,0
eNgV8tphy-s,"NOSOTRAS PODEMOS EP10 ""Organizadora de Sueños"" - Cecy García","Mar 15, 2023",,,,182,0
elZt9ZwgDYs,NL Relajo Cap. 17 - UANLeer 2023,"Mar 25, 2023",,,,185,0
gXFMqu2F5dQ,"Viviendo Entre Montañas EP5 ""Correr para vivir"" - Pepe Leal","Dec 19, 2022",,,,187,0
g_wh0AU6-TY,EP.1 “Orgullo Lésbico” con Mildred Rosales | Voces a Colores,"Jul 1, 2023",,,,345,0
gwc9VR47DzY,Viviendo Entre Montañas EP12 “Montaña y Deporte: ¿Quién lo regula?” – José Alberto Coronado,"Apr 10, 2023",,,,209,0
gxSPPdVwmDA,"""Arte en tiempos de delincuencia"" #foryou #podcast #entrevista #arte #shorts #viral","Feb 2, 2024",,,,26,0
gzxVLIoIFq0,"Pateando Micrófonos EP7 ""El Último Crack"" - Charlie Talancón","Jan 23, 2023",,,,161,0
j7TfCDpKJFc,¿Y si me va mal? #podcast #foryou #viral #shorts #cocina,"Dec 14, 2023",,,,31,0
jhvJ3lQ7Rus,MasterChef te Consume,"Jul 12, 2023",,,,50,0
lF8e6iBtl7M,"""Ya no sentí buenas vibras"" #viral #podcast #entrevista #foryou #parati #chisme #shortvideo","Apr 3, 2024",,,,109,0
lbPPTsVDzgc,"Arte Prohibido con el ""Joker"" - Julio González D'Influencers EP25","Sep 18, 2023",,,,570,0
mS4gnFCoP8Q,Dinosaurios reales ¿Se Mueven en la Noche? NL Relajo #12T2 con Clauudea,"Mar 18, 2024",,,,2743,0
msku_TP9bz4,EP.5 “Orgullo Queer” con Hugo Arturo | Voces a Colores,"Jul 14, 2023",,,,394,0
ov6-UkZlVOE,"DE LO MÁS NORMAL EP3 ""Amistades: Solteras vs Divorciadas"" - Eva Nava","May 8, 2023",,,,301,0
p7OB8oYwF6A,El Hombre de la camisa roja #Terror #miedo #paranormal,"Oct 31, 2023",,,,93,0
pOl4EM4JK10,Confía siempre en un profesional para tus terapias. #DLMN #psicologia #hipnosis #viral,"Nov 4, 2023",,,,27,0
pysaDKY3nqk,EP.8 “Más+ Orgullo” con Alan Linkz | Voces a Colores,"Aug 5, 2023",,,,422,0
qCcmzAmHB3M,"""Nunca esperes nada de nadie"" -Elsy Viscarra #foryou #podcast #podcastemprendimiento #viral #shorts","Jan 10, 2024",,,,22,0
qDrn4G5bAlU,El Whatsapp de antes #foryou #amor #short,"Dec 12, 2023",,,,25,0
qLU_pmrSeWs,"D'Influencers EP12 ""Explorando lo Paranormal/Urbex"" - Ulises Basskez","Mar 20, 2023",,,,211,0
qtMdos9TarI,Tu Fuerza al Límite: Primer Aniversario de Emotion Studio con Ale Rubio Kristina Girod y Clauudea,"Jun 3, 2023",,,,285,0
rGRO2U-P-24,NL Relajo Cap. 8 - Wakanda Forever ⚔,"Nov 16, 2022",,,,167,0
rhCEh6yb1vw,"""Me corrieron y se copiaron mis paquetes"" -Cecy García  #foryou #podcast #shorts #viral #bodas","Jan 16, 2024",,,,27,0
s1FvrPt6f3g,"""Padre Amamanta a su Bebé y Desafía a la Sociedad"" - Chava Rax EP.11 DE LO MÁS NORMAL","Sep 22, 2023",,,,648,0
sNkwP7omVgw,EP.6 “Más+ Orgullo” con Edie Blue | Voces a Colores,"Jul 18, 2023",,,,404,0
tSnt57OCmSM,"DE LO MÁS NORMAL EP9 ""Celos, Gritos y Control: Peligrosas Relaciones Tóxicas"" - Clara Valles","Aug 21, 2023",,,,481,0
tqdN2J4goEQ,"""El dominio masculino en el mundo del mezcal"" #foryou #podcast #podcastemprendimiento #shorts #viral","Jan 13, 2024",,,,15,0
txn93nVnUGw,"""Hay que aceptar los gustos de los demás"" #foryou #podcast #entrevista #shorts #viral #discapacidad","Jan 31, 2024",,,,21,0
uAW3CNXkghU,D'Influencers EP16 “Enamorada del Amor” - Ana Cirré,"May 15, 2023",,,,246,0
uIGMvNl28vU,"Calor, Aroma y Sabor: Corredor Gastronómico #NLRelajo24 con Clauudea ''La Pana''","Jul 8, 2023",,,,398,0
usdsm26vScc,El origen de la palabra Farfalla. #Drag #maquillaje #pride,"Aug 11, 2023",,,,41,0
vzT1CWKOf14,"""Los dos fuimos tóxicos"" #foryou #podcast #relaciones #entrevista #shorts #viral #toxic","Feb 7, 2024",,,,27,0
w4HEBlk83VU,"D'Influencers EP7 ""Más que un Actor""- Renán Moreno","Jan 16, 2023",,,,182,0
wXr7w6E06DU,NOSOTRAS PODEMOS EP5 “Psiconutrición: Alimenta Mente y Cuerpo”- JAKY ALVARADO,"Dec 28, 2022",,,,177,0
wYPnhXQgmL4,"D'Influencers EP21 ""El Arte del Drag"" - Rebel Mörk","Jul 24, 2023",,,,427,0
wwfWSqdRGwU,"""Tuve que lidiar con muchas cosas en#bigbrother "" #podcast #entrevista #platica #reality #show","Mar 22, 2024",,,,45,0
wy5Z8Kl8Xhg,"D'Influencers EP4 ""Entregado al Público y al Entretenimiento"" - Armando Araiza","Nov 28, 2022",,,,175,0
xkBrGcA3PCw,"""La dieta no es solo lechuga"" #viral #podcast #nutricion #shorts #parati #diet","Feb 25, 2024",,,,33,0
ynBa08Tsh5M,"NOSOTRAS PODEMOS EP12 ""Dos consejos: sé fuerte y haz franquicias"" - Samira Sánchez","Apr 12, 2023",,,,218,0
z3qpwBwtUGM,"""Las reglas Jordan"" #viral #podcast #podcastmexico #entrevista #foryou #pistons #baloncesto","Mar 21, 2024",,,,54,0
zmBqDvpCsrU,"""Me sentía insuficiente"" #viral #podcast #entrevista #foryou #negocios #shortvideo #experiencias","Mar 11, 2024",,,,24,0
